NFT ID,Token Number,background,baseape,baseclothes,earrings,eyes,headwear,mouth,roses,necklace,crypto
16,100.70317154451689 10.404624277456648 5.732484076433121 6.8965517241379315 10.588235294117647 11.39240506329114 11.39240506329114 11.538461538461538 11.612903225806452 10.97560975609756 10.16949152542373
17,98.12626149907148 9.67741935483871 5.732484076433121 6.293706293706294 11.042944785276074 10.285714285714285 12 12 9.574468085106382 11.842105263157894 9.67741935483871
18,91.91864392763519 10 5.921052631578947 6.8965517241379315 10.714285714285714 10.465116279069766 10.404624277456648 10.344827586206897 11.11111111111111 11.538461538461538 4.522613065326633
19,99.4776573612719 10 6.122448979591836 6.870229007633588 10.778443113772456 11.25 11.39240506329114 10.465116279069766 10.778443113772456 11.76470588235294 10.05586592178771
20,96.54640488221182 10.465116279069766 6.428571428571429 6.293706293706294 10.588235294117647 11.25 10.227272727272727 10.90909090909091 10.465116279069766 10.344827586206897 9.574468085106382
21,99.68462165658005 10.404624277456648 6.122448979591836 7.659574468085106 10.588235294117647 10.714285714285714 12.162162162162161 11.538461538461538 9.94475138121547 10.97560975609756 9.574468085106382
22,102.05699724205941 9.94475138121547 6.164383561643836 6.143344709897611 11.042944785276074 11.920529801324504 11.76470588235294 12.949640287769785 10.588235294117647 11.538461538461538 10
23,103.3052803218232 9.23076923076923 6.428571428571429 6.8965517241379315 12.67605633802817 11.25 12.162162162162161 11.538461538461538 11.11111111111111 11.842105263157894 10.16949152542373
24,103.7518923684729 9.278350515463918 6.164383561643836 9.72972972972973 12.67605633802817 11.39240506329114 11.11111111111111 10.344827586206897 11.612903225806452 11.76470588235294 9.67741935483871
25,101.79134295665091 10.97560975609756 6.164383561643836 6.143344709897611 10.778443113772456 11.320754716981131 12 12 10.588235294117647 11.76470588235294 10.05586592178771
26,95.62372545723274 9.23076923076923 6.428571428571429 6.870229007633588 12.328767123287673 11.39240506329114 11.76470588235294 10.465116279069766 10.778443113772456 11.842105263157894 4.522613065326633
27,96.18568949013515 9.23076923076923 5.921052631578947 6.293706293706294 10.778443113772456 10.404624277456648 12.162162162162161 10.465116279069766 10.588235294117647 10.285714285714285 10.05586592178771
28,100.5531189354346 10.97560975609756 6.164383561643836 6.8965517241379315 10.465116279069766 10.465116279069766 10.843373493975903 13.333333333333334 11.842105263157894 9.89010989010989 9.67741935483871
29,104.41215064219534 10.97560975609756 6.164383561643836 9.72972972972973 10.465116279069766 11.920529801324504 10.843373493975903 10.465116279069766 11.842105263157894 12.328767123287673 9.67741935483871
30,97.34315404972213 10.526315789473685 6.122448979591836 6.8965517241379315 10.778443113772456 10.714285714285714 11.76470588235294 9.523809523809524 9.574468085106382 11.76470588235294 9.67741935483871
31,101.48880666912757 10.465116279069766 6.428571428571429 9.72972972972973 10.112359550561798 10.404624277456648 12 11.538461538461538 10.465116279069766 10.344827586206897 10
32,98.38269247241378 9.94475138121547 5.921052631578947 6.870229007633588 10.227272727272727 10.465116279069766 12.162162162162161 10.465116279069766 11.11111111111111 11.538461538461538 9.67741935483871
33,95.79913360311501 9.94475138121547 5.921052631578947 6.870229007633588 11.042944785276074 10.714285714285714 10.404624277456648 11.25 10.344827586206897 9.523809523809524 9.782608695652174
34,96.15828743796122 10.465116279069766 5.732484076433121 6.8965517241379315 10.465116279069766 10.404624277456648 11.76470588235294 10.344827586206897 10.778443113772456 9.523809523809524 9.782608695652174
35,97.60859157079959 10.97560975609756 5.921052631578947 6.870229007633588 10.465116279069766 11.11111111111111 11.688311688311689 10.465116279069766 10.588235294117647 9.523809523809524 10
36,99.8203421833355 10.227272727272727 5.732484076433121 7.659574468085106 11.042944785276074 11.11111111111111 11.11111111111111 11.25 9.574468085106382 12.328767123287673 9.782608695652174
37,98.0155013591346 10.97560975609756 6.122448979591836 6.870229007633588 10.112359550561798 10.285714285714285 11.76470588235294 11.538461538461538 10.778443113772456 9.89010989010989 9.67741935483871
38,97.15731136867618 9.67741935483871 5.8441558441558445 7.659574468085106 10.227272727272727 10.344827586206897 11.11111111111111 10.90909090909091 10.526315789473685 11.180124223602485 9.67741935483871
39,97.5877499158595 9.23076923076923 6.164383561643836 6.293706293706294 10.112359550561798 10.285714285714285 12 11.25 11.11111111111111 11.76470588235294 9.375
40,103.87245331280457 10 5.921052631578947 9.473684210526315 12.67605633802817 11.11111111111111 11.76470588235294 10.465116279069766 11.11111111111111 11.180124223602485 10.16949152542373
